unique_id,rating_1,rating_2,rating_3,consensus,raters
DOSEESC_EM01_09.20.2017_10_18_34,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_10_21_33,Acceptable,Unacceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_10_23_23,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_10_26_26,Unacceptable,Acceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_10_31_23,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_10_40_41,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_10_41_24,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_11_18_24,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_11_18_32,Unacceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_11_21_31,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_11_22_31,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_11_24_24,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_11_24_32,Unacceptable,Acceptable,Unacceptable,Unacceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_11_25_26,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_11_25_30,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_11_26_20,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_11_28_21,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_11_30_18,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_11_35_18,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_11_41_37,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_11_41_41,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_11_42_39,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_11_43_34,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_11_45_35,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_12_19_28,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_12_20_25,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_12_21_33,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_12_24_26,Unacceptable,Unacceptable,Acceptable,Unacceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_12_25_29,Unacceptable,Unacceptable,Acceptable,Unacceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_12_26_29,Unacceptable,Unacceptable,Acceptable,Unacceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_12_27_22,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_12_27_26,Unacceptable,Acceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_12_28_25,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_12_33_19,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_12_39_19,Acceptable,Unacceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_12_41_39,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_13_16_26,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_13_16_34,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_13_17_35,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_13_18_27,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_13_20_26,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_13_20_38,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_13_21_30,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_13_27_23,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_13_31_18,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_13_31_22,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_13_36_19,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_13_38_43,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_13_42_38,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_13_44_35,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
